_¼_Ì,Date1,_¼_Ì,Date2
_³__,16.01.01,_³__,17.01.01
_¬_l_Ì__,16.01.11,_¬_l_Ì__,17.01.09
_____L_O_Ì__,16.02.11,_____L_O_Ì__,17.02.11
_t_ª_Ì__,16.03.20,_t_ª_Ì__,17.03.20
_º_a_Ì__,16.04.29,_º_a_Ì__,17.04.29
___@_L_O__,16.05.03,___@_L_O__,17.05.03
_Ý_Ç___Ì__,16.05.04,_Ý_Ç___Ì__,17.05.04
_±_Ç___Ì__,16.05.05,_±_Ç___Ì__,17.05.05
_C_Ì__,16.07.18,_C_Ì__,17.07.17
_R_Ì__,16.08.11,_R_Ì__,17.08.11
_h_V_Ì__,16.09.19,_h_V_Ì__,17.09.18
_H_ª_Ì__,16.09.22,_H_ª_Ì__,17.09.23
_Ì___Ì__,16.10.10,_Ì___Ì__,17.10.09
_¶_»_Ì__,16.11.03,_¶_»_Ì__,17.11.03
_Î_J_´_Ó_Ì__,16.11.23,_Î_J_´_Ó_Ì__,17.11.23
_V_c_a_¶__,16.12.23,_V_c_a_¶__,17.12.23
,,,
